classification,match_kind,oem_name,recovered_names,oem_instructions,recovered_instructions,instruction_ratio,instruction_delta,oem_bytes,recovered_bytes,oem_branches,recovered_branches,oem_calls,recovered_calls,oem_returns,recovered_returns,oem_relocations,recovered_relocations,missing_replacement_targets
larger,exact_name,dis_update_settings,dis_update_settings,62,115,1.854839,53,248,460,5,8,6,6,2,1,7,12,
larger,exact_name,sensor_set_mode,sensor_set_mode,60,108,1.800000,48,240,432,3,5,1,2,1,1,8,12,
larger,exact_name,defect_pixel_table_write,defect_pixel_table_write,60,95,1.583333,35,240,380,4,5,7,7,2,1,6,14,
larger,replacement,sinfo_slot_publish,tx_isp_sinfo_slot_publish,59,98,1.661017,39,236,392,3,6,3,4,1,1,14,16,
larger,exact_name,AE_fsm_switch_state,AE_fsm_switch_state,59,84,1.423729,25,236,336,11,12,1,5,1,1,10,10,
larger,exact_name,stitching_error_calculate,stitching_error_calculate,58,83,1.431034,25,232,332,3,3,4,5,1,1,10,10,
larger,exact_name,ae_initialize,ae_initialize,58,74,1.275862,16,232,296,5,2,2,3,0,1,6,6,
larger,exact_name,tx_isp_disable_irq,tx_isp_disable_irq,57,108,1.894737,51,228,440,4,3,3,4,1,1,11,8,
larger,replacement,subdev_core_ops_streamoff.constprop.0,subdev_core_ops_streamoff,57,101,1.771930,44,228,404,10,13,3,3,1,1,8,8,
larger,exact_name,frame_channel_vidioc_querycap,frame_channel_vidioc_querycap,57,90,1.578947,33,228,360,2,2,4,4,1,1,14,16,
larger,exact_name,color_mode,color_mode,57,85,1.491228,28,228,340,6,9,3,3,2,1,5,6,
larger,exact_name,calc_equidistant_modulation_u16,calc_equidistant_modulation_u16,56,111,1.982143,55,224,444,4,9,0,0,3,1,0,0,
larger,exact_name,frame_channel_vidioc_enum_fmt_vid_cap,frame_channel_vidioc_enum_fmt_vid_cap,56,91,1.625000,35,224,364,5,6,4,4,1,1,10,10,
larger,exact_name,apical_sensor_calibration_update,apical_sensor_calibration_update,56,76,1.357143,20,224,304,7,7,3,4,1,1,4,8,
larger,exact_name,sharpening_fsm_process_event,sharpening_fsm_process_event,55,96,1.745455,41,220,384,15,18,2,2,1,1,4,4,
larger,exact_name,apical_fw_init,apical_fw_init,54,102,1.888889,48,216,408,1,0,8,11,0,1,14,26,
larger,exact_name,write_data,write_data,54,88,1.629630,34,216,352,1,0,7,8,0,1,4,16,
larger,exact_name,awb_freeze,awb_freeze,53,98,1.849057,45,212,392,11,14,2,2,1,1,4,4,
larger,replacement,apical_isp_gamma_s_attr.isra.0,apical_isp_gamma_s_attr,53,97,1.830189,44,212,388,4,6,4,4,1,1,8,10,
larger,exact_name,noise_reduction_initialize,noise_reduction_initialize,53,95,1.792453,42,212,380,1,4,5,5,0,1,12,14,
larger,exact_name,ae_freeze,ae_freeze,53,94,1.773585,41,212,376,11,14,2,2,1,1,4,4,
larger,exact_name,fr_pipe_status,fr_pipe_status,53,88,1.660377,35,212,352,8,9,4,4,1,1,8,8,
larger,exact_name,ds1_pipe_status,ds1_pipe_status,53,83,1.566038,30,212,332,8,10,4,4,1,1,8,8,
larger,exact_name,frame_channel_vidioc_reqbufs,frame_channel_vidioc_reqbufs,53,83,1.566038,30,212,332,3,3,5,5,1,1,15,18,
larger,exact_name,ds2_pipe_status,ds2_pipe_status,53,80,1.509434,27,212,320,8,9,4,4,1,1,8,8,
larger,exact_name,antifog_mode,antifog_mode,52,94,1.807692,42,208,376,9,10,1,1,3,1,6,10,
